Query >939	 [np] 不禁/d [vp] 
319	 r 不仅/c [vp] s [np] 
79	 c 不/d a [advp] 不/d a 
18	 [advp] u 不/d g 
37	 c c r 不/d [vp] 
18	 [np] 不均/a 
25	 [pp] [vp] 不少/m [np] 
24	 [np] [advp] [vp] 不久/m 
60	 p t 不/d [advp] [vp] 
47	 c 不/d [vp] c [vp] 
18	 不仅/c [np] m 
51	 r 不禁/d l 
49	 [np] 不言自明/v 
61	 [vp] 不好/a [advp] [vp] 
220	 [vp] p 不久/m u t 
30	 c [vp] 不/d [advp] [vp] 
84	 [vp] [qp] 不幸/a u [np] 
55	 [vp] g [np] 不/d a 
23	 l [np] 不/d [vp] 
23	 不管/c p r 
18	 l [np] 不同/a 
23	 不要/d [vp] g 
45	 [np] 不但/c 不/d [vp] 
118	 [qp] [vp] 不/d [vp] k 
25	 [np] [advp] [vp] [qp] 不/d [vp] 
235	 c [pp] u 不断/d [vp] 
125	 [np] f [np] 不/d [vp] 
18	 [np] [advp] [vp] 不/d g 
45	 [advp] 不了了之/v 
28	 不知/v [np] r 
18	 [advp] a [advp] 不/d a 
18	 m c 不/d g 
27	 a c 不/d [np] 
37	 r [advp] 不能/v [vp] y 
39	 不妨/v m [vp] 
18	 a 不/d [vp] [pp] 
18	 [vp] [advp] 不/d g 
18	 g 不/d [vp] 不/d [vp] 
51	 p 不/d [pp] [vp] 
30	 [np] 不好/a u [np] 
25	 c [vp] 不/d p 
126	 r [advp] 不必/d y 
18	 r [advp] 不/d a u 
18	 不管/c r u 
45	 不知/v r [advp] [vp] 
804	 r [advp] 不/d [vp] [advp] a y 
25	 c r 不再/d [vp] 
17	 [np] k [advp] 不/d a 
58	 [vp] 不知/v r 
196	 c [np] 不堪设想/v 
83	 c [vp] 不当/a 
328	 t [np] 不足/v [qp] 
63	 [np] f [vp] 不少/m [np] 
38	 不/d [vp] [advp] [vp] s [np] 
30	 [np] r 不同/a 
29	 r g [vp] 不/d [vp] 
36	 不/d [vp] 不/d [advp] [vp] 
1331	 u [np] [vp] 不/d a u 
411	 [np] 不/d [vp] g [advp] 
17	 m 不/d g s u r 
27	 [pp] [advp] 不利/a 
28	 [np] 不言而喻/v 
28	 [vp] 不及/v 
41	 [advp] 不可/v l 
17	 不/d p r [qp] 
26	 不过/c [np] a 
43	 不可/v g [vp] 
292	 s [np] [vp] 不/d [vp] p s [vp] 
17	 c 不知/v [np] 
134	 p [vp] 不必要/a u [np] 
276	 r [advp] [vp] 不/d u [vp] 
72	 [np] 不容忽视/v 
668	 c [np] [advp] 不/d [vp] y 
203	 [vp] c [np] 不/d [pp] u [np] c [vp] 
17	 c [advp] 不得不/d [vp] 
47	 [np] r [advp] 不/d a 
17	 不知/v r m 
17	 [np] [advp] 不/d p r 
17	 [np] [advp] 不/d [vp] 不/d [vp] 
17	 不知/v [vp] g 
305	 p r 不/d [np] f 
29	 [np] [vp] 不/d [vp] a [qp] [vp] 
17	 r c 不/d g 
26	 c [qp] [advp] 不/d [vp] 
22	 m r 不/d [vp] 
300	 r [advp] [vp] 不止/v 
25	 [np] [advp] 不/d [vp] a y 
52	 不少/m [np] [pp] [vp] 
17	 不料/d [np] [vp] 
17	 c 不能不/d [vp] 
17	 不管/c [advp] [np] 
17	 l 不/d a 
17	 p s 不久/m 
77	 r [advp] [vp] 不/d u y 
28	 [np] 不/d [advp] [vp] y 
17	 [np] 不拘/v 
39	 [np] [vp] g 不妙/a 
24	 c r 不/d p [vp] 
25	 不仅/c t [vp] 
17	 p r 不/d [vp] 不/d [vp] 
22	 r 不时/d [vp] 
96	 [np] 不胜枚举/v 
22	 [np] g [vp] 不宜/v [vp] 
35	 [np] [vp] 不/d [vp] [advp] a 
17	 c 不错/a 
32	 r [advp] 不/d [vp] 不/d a 
152	 r [advp] 不好/a [vp] y 
379	 r [advp] 不/d [vp] [qp] [advp] [np] 
17	 不过/c 不要紧/v 
698	 c r [advp] [vp] [advp] 不/d [vp] 
129	 r b [vp] 不/d [vp] 
17	 不禁/d a c [vp] 
57	 r z 不/d g 
111	 r p [vp] 不/d a 
863	 r t [advp] 不/d [vp] y 
224	 r [advp] [vp] 不/d [advp] a 
54	 [np] [advp] r 不/d a 
16	 t r [advp] [vp] 不/d a 
16	 b g 不/d [vp] 
16	 不管/c r [advp] [vp] 
101	 [vp] 不息/v u [np] 
16	 不久/m [advp] [vp] s 
23	 r p 不同/a [np] 
270	 不仅/c [np] [vp] a 
31	 p 不少/m [np] f 
857	 c [np] f 不/d [vp] 
16	 b m t 不/d [vp] 
42	 [vp] 不同/a [np] [vp] 
112	 不过/c [pp] [vp] 
109	 [np] [advp] 不/d g a 
142	 m 不/d g s [np] r 
35	 r [advp] 不甘示弱/v 
35	 c 不/d [vp] s u [np] 
16	 f c 不/d p b [advp] 
266	 r [advp] [vp] 不对/a u 
266	 c 不仅仅/d [vp] 
64	 r 不/d [vp] p s [vp] 
16	 不/d g c [np] 
16	 c 不予/v [vp] 
16	 [np] p 不顾/v 
36	 不少/m s [np] [vp] 
30	 不要/d [vp] [advp] [vp] 
21	 c [advp] 不/d a [vp] 
22	 c s [advp] 不/d [vp] 
54	 p 不同/a [np] f 
217	 r [advp] 不/d [vp] s u [np] 
36	 [np] u 不良/a [np] 
167	 p [vp] 不足/a u [np] 
42	 r 不管/c [vp] 
54	 [np] f [advp] [vp] 不/d [vp] 
52	 [np] [advp] 不满/a 
16	 s [np] [advp] [vp] 不/d [vp] 
35	 [np] 不得/v [vp] [qp] 
49	 [vp] [qp] [advp] 不/d [vp] 
16	 g k 不/d [vp] 
47	 p r f 不久/m 
16	 c [advp] [vp] 不/d y 
300	 c r [advp] 不/d [vp] p r 
16	 不耻下问/v 
34	 c 不断/d u [vp] 
16	 r s [np] 不/d [vp] 
29	 r 不/d [vp] [pp] u [np] 
16	 [vp] 不周/a 
16	 不冷不热/v 
34	 [vp] g [np] 不/d [vp] 
253	 [np] [advp] 不/d [vp] [advp] [vp] y 
16	 [advp] 不料/d 
123	 r [advp] [vp] 不好/a 
21	 c 不/d [vp] [advp] [vp] y 
52	 [np] [vp] [advp] 不足/v 
265	 [pp] [vp] s [np] 不断/d [vp] 
26	 [vp] 不足/v [qp] 
43	 [qp] 不/d g [advp] p [vp] 
16	 m [vp] [advp] 不/d [vp] y 
36	 c [advp] 不/d r a 
31	 [vp] 不成方圆/v 
23	 [np] p 不/d p 
16	 [advp] [pp] 不/d a 
137	 [np] [vp] 不严/a 
33	 m 不/d [vp] m 不/d [vp] 
29	 r 不/d [vp] p r a 
16	 不拘一格/v [pp] 
36	 不过/c p r f 
22	 不管/c a u 
36	 [vp] 不/d [vp] 不/d a 
16	 不过/c r m [vp] 
136	 r 不再/d a y 
16	 [np] 不可/v g 
32	 r 不好意思/v [vp] 
30	 r 不/d [advp] [vp] [qp] 
998	 r [advp] 不/d [vp] p [vp] y 
16	 不知/v r [advp] a 
275	 r [advp] [vp] 不得/v 
15	 t [advp] 不/d g 
15	 c [vp] 不必要/a u [np] 
87	 [np] u 不/d [np] 
15	 [np] u [advp] 不/d a 
132	 r 不仅/c [vp] [advp] [vp] 
20	 不幸/n [advp] [vp] 
20	 [pp] [np] 不好/a 
100	 f [vp] 不怕/v [np] 
15	 m [np] 不/d [vp] s [np] 
15	 不/d f 不/d f 
57	 [vp] [advp] 不/d [advp] a 
15	 不/d g g [np] 
336	 c [np] c 不/d [advp] a 
21	 [vp] 不足为奇/v u 
44	 s 不断/d [vp] 
15	 p m m t u 不懈努力/v 
15	 [np] c 不/d [vp] g 
36	 [np] [advp] [vp] 不好/a 
25	 [np] 不得不/d [advp] [vp] 
210	 r 不仅/c [vp] m [np] 
15	 c s [advp] 不/d a 
29	 t u [np] [advp] 不/d [vp] 
37	 [vp] 不容置疑/v u 
25	 c [vp] g 不/d [vp] 
21	 u [np] c 不/d [vp] 
140	 c 不/d [vp] [pp] [np] [vp] 
37	 r [advp] 不断/d [vp] 
31	 c [vp] 不同/a [np] 
31	 s 不少/m [np] [vp] 
23	 [advp] c 不/d [vp] 
32	 [advp] 不在话下/v 
29	 c 不惜/v [vp] 
15	 c [np] 不/d [vp] b 
83	 c [advp] [vp] [qp] 不容忽视/v u [np] 
15	 c [vp] 不/d [vp] a 
25	 t [vp] [advp] 不/d a 
20	 [np] 不好过/a 
1345	 [np] [advp] [vp] 不同/a [np] 
22	 不久前/t p s [vp] 
20	 g [vp] 不/d [vp] [advp] [vp] 
103	 [np] 不行/a y 
38	 [advp] 不足为怪/v y 
200	 [advp] 不可思议/l y 
1404	 [advp] r 不/d a y 
56	 [np] [pp] 不/d [vp] g 
23	 [np] 不减当年/v 
15	 p s [advp] 不/d [advp] [vp] 
20	 不但/c [vp] [advp] [vp] 
26	 [np] 不许/d [vp] 
15	 c r 不/d [np] 
38	 [np] g g [vp] 不/d [vp] 
39	 [qp] 不/d [advp] g 不/d [vp] 
143	 r [advp] 不能/v [advp] [vp] 
133	 [np] 不/d [vp] b u [np] 
15	 不论/c [np] [advp] a 
15	 [advp] 不慎/d 
142	 [np] [advp] 不/d r a y 
43	 [vp] 不/d [vp] a y 
112	 c [np] 不少/m 
58	 [advp] 不/d [advp] r 
65	 [vp] 不/d [vp] c [vp] 
84	 r 不要/d y 
15	 t [vp] 不/d g 
84	 r [advp] [vp] p r 不/d [vp] 
26	 不论/c [np] [advp] [vp] 
208	 [np] [vp] a 不/d a 
15	 [advp] 不能/v [advp] [vp] y 
201	 [advp] [vp] 不少/m [vp] 
15	 r 不耐烦/a y 
22	 [vp] 不好/a y 
20	 [np] 不定/d 
283	 [np] [vp] [advp] 不/d a u 
46	 r [pp] [vp] 不解之缘/l 
31	 [pp] [advp] [vp] 不/d [vp] 
31	 r [advp] 不/d y 
32	 r 不/d [advp] 不/d [advp] [vp] 
50	 r 不/d g y 
41	 [np] 不过/c m [np] 
81	 [vp] 不得/v [np] 
70	 r 不以为然/v u [vp] 
31	 r 不/d [vp] p r u 
28	 r [pp] 不/d a 
20	 不由/d [advp] [vp] 
31	 [advp] [np] c 不/d a 
15	 r [advp] r 不/d [vp] 
50	 [vp] 不/d [vp] [qp] a 
15	 不光/c r 
21	 r [advp] 不好意思/a u [vp] 
24	 [np] 不肯/v [vp] 
15	 c [advp] [vp] 不/d g 
15	 不识时务/v 
787	 r m [vp] 不/d [vp] a 
32	 r [advp] 不/d [pp] y 
26	 不/d [vp] g [np] [vp] 
103	 r 不再/d [advp] [vp] 
